,Speed (OBD)(km/h),Absolute Throttle Position B(%),Torque(Nm),CO2_emission_g_per_km
30,26.0,14.50980377,13.93831632,150.63871506899778
31,27.0,16.07843208,7.00054142,145.35389892089657
32,27.0,16.86274529,7.00054142,145.35389892089657
33,29.0,16.86274529,13.67899307,172.69213518794382
34,31.0,17.25490189,14.09192705,169.93614478474205
35,31.0,16.47058868,14.09192705,169.93614478474205
36,32.0,16.47058868,10.94964683,229.8394247843832
37,33.0,16.47058868,11.30957133,88.2269453700998
38,33.0,13.33333302,11.30957133,88.2269453700998
39,32.0,13.33333302,11.30957133,91.30480291220714
50,16.0,16.47058868,19.57632196,256.71727554942026
53,22.0,16.86274529,22.72934062,240.16524662091086
54,25.0,16.86274529,21.45508437,226.7010008991348
55,25.0,17.64705849,21.45508437,226.7010008991348
56,28.0,17.64705849,21.05073338,169.89481404031937
57,30.0,16.86274529,14.31860829,160.35777674238585
58,30.0,15.68627453,14.31860829,160.35777674238585
59,32.0,17.25490189,15.66476488,136.02181337024322
60,33.0,17.25490189,7.39614327,163.5776563525434
61,33.0,16.86274529,7.39614327,163.5776563525434
62,33.0,16.86274529,7.39614327,163.5776563525434
63,36.0,16.86274529,7.39614327,192.061819804202
64,36.0,18.03921509,7.39614327,192.061819804202
65,36.0,18.03921509,7.39614327,224.0744100061008
77,29.0,14.11764717,12.19276743,120.80413774443359
78,30.0,14.11764717,11.90202794,103.05424363100371
79,30.0,13.72549057,11.90202794,93.6103346268932
80,30.0,13.33333302,11.90202794,93.6103346268932
81,29.0,13.33333302,11.90202794,84.18741588681327
95,28.0,16.86274529,21.69298505,187.0641206839024
96,30.0,14.90196037,15.88577111,142.9565182155004
97,30.0,14.50980377,15.88577111,142.9565182155004
98,30.0,14.50980377,15.88577111,135.339436564184
99,27.0,13.72549057,15.88577111,127.70610828675014
100,27.0,13.33333302,15.88577111,127.70610828675014
111,27.0,18.43137169,10.16405479,195.5909242411371
112,27.0,14.50980377,10.16405479,142.59380098573652
113,27.0,14.50980377,10.16405479,149.67638612012308
121,27.0,16.86274529,5.19715754,157.22061755937997
122,29.0,18.03921509,18.42521445,178.65174728560842
123,30.0,18.43137169,18.42521445,213.76380901368753
125,32.0,18.43137169,14.94690064,206.8643553668811
126,33.0,18.43137169,14.94690064,205.12060894015383
127,33.0,18.43137169,8.23246327,182.1639495297564
128,34.0,17.25490189,15.38045294,121.59515678744269
129,33.0,14.11764717,15.38045294,86.49490127432833
130,31.0,13.72549057,15.38045294,91.30618109621848
150,37.0,21.56862831,15.19115776,253.87659394941454
151,38.0,21.1764698,15.19115776,248.30793480376278
156,42.0,23.92156792,22.91985253,215.28407581209734
157,42.0,23.92156792,22.91985253,217.2393050240701
159,43.0,23.13725471,21.34886887,207.3845367421144
160,44.0,22.35294151,21.34886887,202.3711242990803
161,45.0,21.96078491,23.15641624,201.54126813150057
162,46.0,21.96078491,21.07130256,197.6154206285297
163,47.0,21.96078491,21.07130256,192.68332927535596
164,47.0,21.56862831,21.07130256,184.34042729880952
165,48.0,17.25490189,23.12427204,184.34042729880952
194,37.0,21.56862831,13.69404627,246.33904864775764
195,38.0,19.2156868,17.03502703,246.33904864775764
196,39.0,17.25490189,14.11868845,195.770754304739
197,38.0,14.11764717,14.11868845,113.5038784542422
198,37.0,14.11764717,14.11868845,89.40781890329934
224,37.0,21.96078491,13.68393882,250.06332378111097
260,43.0,21.56862831,18.05272837,214.6081346185435
261,44.0,21.56862831,17.84503108,198.49490978271047
262,45.0,21.56862831,18.18135946,182.84270670952918
263,45.0,19.6078434,18.18135946,166.3331832211483
264,45.0,20.0,18.18135946,166.3331832211483
265,46.0,21.1764698,18.31742148,170.26159320986648
266,46.0,25.09803963,18.31742148,190.44644167341318
267,47.0,25.09803963,9.61499608,213.8407412742936
268,48.0,27.45098114,18.50997247,226.38863233741387
269,49.0,29.01960754,23.25611756,225.88300869515692
270,49.0,30.19607925,23.25611756,225.88300869515692
271,50.0,31.37254906,18.10289193,223.6783047900328
272,51.0,32.15686417,20.50725594,230.70497921490204
273,52.0,32.15686417,21.22127477,235.32620900067468
276,56.0,33.33333206,18.3090208,256.5321177106895
277,56.0,33.33333206,18.3090208,256.5321177106895
278,58.0,34.50980377,37.86469858,258.4282589667071
280,60.0,38.03921509,37.85777323,248.56824555123796
282,62.0,46.27450943,27.93269749,254.79710555186458
299,65.0,30.19607925,13.71671142,225.7245563377786
300,66.0,30.19607925,24.64427883,203.09589237429654
301,67.0,31.37254906,29.36686919,197.7316668756556
302,69.0,31.76470566,54.02186965,174.1053651181057
303,69.0,31.76470566,54.02186965,167.5336404304274
304,71.0,32.15686417,47.73228715,167.5336404304274
305,73.0,32.15686417,53.12580424,167.85312748018163
306,75.0,32.15686417,60.60990442,167.06120245559683
307,76.0,32.15686417,26.69633545,164.54223636197952
308,76.0,31.76470566,26.69633545,165.99482534747725
309,77.0,31.76470566,24.85422208,166.53538800945114
310,77.0,32.15686417,24.85422208,165.1113547298902
311,77.0,32.54901886,24.85422208,165.1113547298902
312,76.0,32.54901886,24.85422208,184.04400390475823
321,76.0,25.88235283,24.13728751,153.05352629187857
322,77.0,25.09803963,24.19081032,150.87959257763293
323,78.0,23.52941132,29.80647406,152.8938182530085
324,78.0,23.52941132,29.80647406,152.8938182530085
325,79.0,23.52941132,30.13943933,125.15270328591804
326,80.0,23.92156792,28.89975167,124.83669713759988
327,81.0,23.92156792,31.57282746,123.40023582482638
328,80.0,24.31372643,31.57282746,124.93260585169679
329,80.0,26.27450943,31.57282746,124.93260585169679
330,81.0,27.05882263,30.78926674,128.6584289243107
331,81.0,30.58823586,30.78926674,131.24579499975047
332,81.0,30.58823586,30.78926674,138.57409912500125
346,79.0,31.76470566,31.99558185,167.3256683302253
347,80.0,30.58823586,27.79938829,164.85465140898657
348,81.0,30.58823586,27.16931029,159.92026804950825
351,86.0,30.19607925,35.9395275,185.68828173416733
352,86.0,31.37254906,35.9395275,185.68828173416733
353,86.0,32.15686417,35.9395275,165.9264747107079
354,85.0,32.15686417,35.9395275,166.0453864454286
363,80.0,24.70588303,36.62772883,127.82139176671352
364,80.0,24.70588303,36.62772883,127.82139176671352
365,81.0,24.70588303,30.81894388,126.00048254410262
366,82.0,24.70588303,29.4984742,124.21271353244603
367,84.0,24.31372643,61.29602659,123.63045464371194
370,87.0,24.31372643,19.17291099,119.71430863397917
371,87.0,24.31372643,19.17291099,123.4886575932921
372,87.0,25.49019623,19.17291099,123.4886575932921
373,86.0,25.09803963,19.17291099,122.83888640424367
377,85.0,24.31372643,35.27661743,121.49214012529406
378,85.0,24.31372643,35.27661743,120.03466374640104
379,86.0,24.31372643,37.4166995,120.03466374640104
380,87.0,24.31372643,33.27570707,119.72051849442256
381,87.0,24.31372643,33.27570707,119.84795701306217
382,87.0,24.31372643,33.27570707,120.88371336134864
392,86.0,25.49019623,30.03188945,125.2271151858513
393,85.0,26.66666603,30.03188945,125.10669392428085
394,85.0,30.19607925,30.03188945,136.37965630041
395,86.0,31.37254906,35.76121125,136.37965630041
396,86.0,31.37254906,35.76121125,148.0988223070783
397,87.0,31.76470566,35.76121125,154.4341847164635
398,87.0,31.76470566,17.69139965,161.92121250547558
399,88.0,32.15686417,38.7760577,163.86498588931806
400,88.0,32.54901886,38.7760577,163.77223195489725
404,91.0,32.94117737,38.78858179,136.13202493469848
405,91.0,33.33333206,38.78858179,134.37970857854452
406,91.0,41.96078491,38.78858179,137.39160105172726
408,92.0,33.33333206,30.49407802,149.9104270138273
409,91.0,32.54901886,30.49407802,162.01700724484263
410,91.0,32.15686417,30.49407802,162.01700724484263
411,91.0,32.94117737,30.49407802,169.404983184695
433,80.0,25.09803963,29.00844457,158.93997096940137
434,80.0,25.88235283,29.00844457,125.93240888114853
435,81.0,25.88235283,29.00844457,129.32884920744328
436,82.0,25.88235283,37.37811094,128.99945628839694
440,87.0,21.56862831,32.17605743,108.39146725009763
441,88.0,21.56862831,31.52515682,108.84054726455014
442,89.0,21.96078491,31.23970186,110.39552087461708
443,90.0,21.56862831,38.47902256,109.02792999110065
444,90.0,21.56862831,38.47902256,110.22442029866329
445,91.0,21.56862831,30.87813782,110.22442029866329
446,91.0,21.56862831,30.87813782,110.09773069433372
447,91.0,21.56862831,30.87813782,108.9177117312295
449,92.0,21.56862831,33.63138274,109.06136957806956
450,91.0,21.56862831,33.63138274,109.10348987981445
451,91.0,21.56862831,33.63138274,109.10348987981445
452,91.0,22.74509811,33.63138274,110.53618034324292
470,76.0,29.01960754,29.1571923,159.50357946427386
471,77.0,27.45098114,27.44560299,156.50462917549956
472,78.0,26.66666603,27.44560299,154.68106066592532
473,80.0,26.66666603,45.16032206,154.7892050304528
474,81.0,26.66666603,25.2284395,155.8040071466225
480,90.0,25.88235283,34.44874789,120.94407174874132
482,93.0,25.88235283,31.24487648,121.30620842385225
483,93.0,25.49019623,31.24487648,121.30620842385225
485,96.0,25.49019623,31.6337618,120.52411746880728
499,90.0,26.27450943,31.84222842,124.40894837256796
